,지점,지점명,지점주소,위도,경도
0,108,서울, 종로구송월길 52서울기상관측소  ,37.5714,126.9658
1,110,김포공항,,37.5569,126.7975
2,400,강남, 강남구일원동 580탄천 물재생센터 ,37.4982,127.0816
3,401,서초, 서초구서초동 1416번지서초 IC ,37.4846,127.026
4,402,강동, 강동구고덕로 183서울종합직업전문학교  ,37.5556,127.145
5,403,송파, 송파구올림픽로 240롯데월드  ,37.5115,127.0967
6,404,강서, 강서구양천로 201서남물재생센터  ,37.5739,126.8295
7,405,양천, 양천구 안양천로 917목동빗물펌프장(목동),37.5282,126.8794
8,406,도봉, 도봉구시루봉로 173신방학초등학교  ,37.6656,127.0304
9,407,노원, 노원구 화랑로 564근무지원단 운동장 (공릉동  육사아파트),37.6219,127.0919
10,408,동대문, 동대문구서울시립대로 163 서울시립대학교 창공관,37.5846,127.0604
11,409,중랑, 중랑구면목로57길 32면동초등학교  ,37.5855,127.0868
12,410,기상청, 동작구 여의대방로16길 61기상청(신대방동),37.4933,126.9175
13,411,마포, 마포구창전동 산1-75와우산 제1025부대 ,37.5517,126.9292
14,412,서대문, 서대문구연세로 50연세대학교  ,37.5705,126.9408
15,413,광진, 광진구자양2동 680-67제5858부대  ,37.5338,127.0857
16,414,성북, 성북구정릉로 77국민대학교 과학관 ,37.6113,126.9998
17,415,용산, 용산구이촌로 255신용산초등학교  ,37.5204,126.9761
18,416,은평, 은평구진관동 산26방패교육대  ,37.6465,126.9427
19,417,금천, 금천구시흥대로104길 31독산초등학교  ,37.4655,126.9002
20,418,한강, 영등포구여의동로 280여의도 세모유람선 ,37.5249,126.939
21,419,중구, 중구소파로 83남산케이블카  ,37.5524,126.9874
22,421,성동, 성동구서울숲길 18성수중학교  ,37.5472,127.0389
23,423,구로, 구로구부일로 893온수초등학교  ,37.4933,126.8263
24,424,강북*, 강북구 삼각산로 58국립재활원(수유동),37.638,127.0098
25,425,남현, 관악구남현동 산100-1420003호  ,37.4635,126.9815
26,509,관악, 관악구관악로 1서울대학교 대기환경관측소 ,37.4528,126.9502
27,510,영등포, 영등포구국회대로53길 20서울영동초등학교  ,37.5271,126.9071
28,889,현충원, 동작구현충로 210국립서울현충원  ,37.5004,126.9765
